,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,ObjectId,Total_Cases,NSW_Deaths,VIC_Deaths,QLD_Deaths,SA_Deaths,WA_Deaths,TAS_Deaths,NT_Deaths,ACT_Deaths,Total_Deaths,NSW_Tests,VIC_Tests,QLD_Tests,SA_Tests,WA_Tests,TAS_Tests,NT_Tests,ACT_Tests,NSW_Tests_Negative,VIC_Tests_Negative,QLD_Tests_Negative,SA_Tests_Negative,WA_Tests_Negative,TAS_Tests_Negative,NT_Tests_Negative,ACT_Tests_Negative,Total_Tests,Total_Tests_Negative
2020-02-02,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,597,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,128.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162,128
2020-02-03,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,598,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,158.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214,158
2020-02-04,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,599,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,199.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287,199
2020-02-05,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,600,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,335
2020-02-06,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,601,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345,345
2020-02-07,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393,393
2020-02-08,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562,562
2020-02-09,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629,629
2020-02-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674,674
2020-02-11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691,691
